[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000467s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000591s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004219s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000734s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003616s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000526s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.005024s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000502s ]
[ 2012-05-07T20:32:59+08:00 ] /index.php?s=/main/operations/ | NOTIC: [8] Use of undefined constant urlsite - assumed 'urlsite' MainAction.class.php 第 58 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --START--
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run CheckRoute Behavior [ RunTime:0.000412s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --END-- [ RunTime:0.000541s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --START--
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000369s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000451s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004800s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.001284s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.004436s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000496s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003940s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000421s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_question` [ RunTime:0.003537s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_question` WHERE ( `uid` = '82' ) ORDER BY new_answer desc, add_time desc  [ RunTime:0.000438s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_template ] --START--
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run LocationTemplate Behavior [ RunTime:0.000450s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_template ] --END-- [ RunTime:0.000540s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_parse ] --START--
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Undefined variable: m ea851ceeae65a77d365afaf24931edbe.php 第 297 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Undefined variable: m ea851ceeae65a77d365afaf24931edbe.php 第 354 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Undefined variable: m ea851ceeae65a77d365afaf24931edbe.php 第 357 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Use of undefined constant is_anonymity - assumed 'is_anonymity' ea851ceeae65a77d365afaf24931edbe.php 第 546 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Use of undefined constant is_anonymity - assumed 'is_anonymity' ea851ceeae65a77d365afaf24931edbe.php 第 546 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Use of undefined constant is_anonymity - assumed 'is_anonymity' ea851ceeae65a77d365afaf24931edbe.php 第 546 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | NOTIC: [8] Use of undefined constant is_anonymity - assumed 'is_anonymity' ea851ceeae65a77d365afaf24931edbe.php 第 546 行.
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run ParseTemplate Behavior [ RunTime:0.081017s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_parse ] --END-- [ RunTime:0.081112s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_filter ] --START--
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run ContentReplace Behavior [ RunTime:0.001072s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run TokenBuild Behavior [ RunTime:0.000496s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000322s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run ShowRuntime Behavior [ RunTime:0.000569s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002738s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_end ] --START--
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Run ShowPageTrace Behavior [ RunTime:0.001112s ]
[ 2012-05-07T20:33:01+08:00 ] /index.php?s=/question/sender | INFO: Tag[ view_end ] --END-- [ RunTime:0.001245s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ route_check ] --START--
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | INFO: Run CheckRoute Behavior [ RunTime:0.000353s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000480s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ app_begin ] --START--
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000335s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000414s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004408s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000800s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003987s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000609s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003653s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000358s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/main/operations/ | NOTIC: [8] Use of undefined constant urlsite - assumed 'urlsite' MainAction.class.php 第 58 行.
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --START--
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | INFO: Run CheckRoute Behavior [ RunTime:0.000361s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | INFO: Tag[ route_check ] --END-- [ RunTime:0.000492s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --START--
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000471s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000559s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member` [ RunTime:0.004543s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SELECT A.username,A.default_pic,A.default_pid,A.default_photonum,A.photonum,A.sex,A.is_videoauth,A.group_type,A.login_time,A.register_time,A.class,A.college,A.hometown_prov,A.hometown_city,A.birth_y,A.birth_m,A.birth_d,A.height,A.constellation,A.blood,A.stature,A.grade,A.introduce,A.want_content,A.score_impress,A.score_impress_num,A.score_face,A.score_face_num,A.score_body,A.score_body_num,A.score_temper,A.score_temper_num,A.user_ping_offset,A.diary_name,A.card_num,A.profile_completed,B.* FROM qh_member AS A LEFT JOIN qh_member_field AS B ON A.uid=B.uid WHERE A.uid=82 LIMIT 1   [ RunTime:0.000687s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_visit` [ RunTime:0.003661s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SELECT qh_member.uid,qh_member.username,qh_member.default_pic FROM `qh_visit` LEFT JOIN qh_member ON qh_visit.uid=qh_member.uid WHERE qh_visit.visit_uid=82 ORDER BY qh_visit.add_time DESC LIMIT 4   [ RunTime:0.000456s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_member_field` [ RunTime:0.003277s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_member_field` WHERE uid=82 LIMIT 1   [ RunTime:0.000354s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SHOW COLUMNS FROM `qh_question` [ RunTime:0.003695s ]
[ 2012-05-07T20:33:02+08:00 ] /index.php?s=/question/sender | SQL: SELECT * FROM `qh_question` WHERE ( `uid` = '82' ) ORDER BY new_answer desc, add_time desc  [ RunTime:0.000497s ]
